,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a,home_adj_shots,home_adj_shots_conc,away_adj_shots,away_adj_shots_conc
7986,2023-10-06,Lecce,Sassuolo,13.0,14.0,2.65,3.62,2.82,serie_a,2324,0.3742850438506438,0.2739931950840348,0.35172176106532127,9.259258644187005,14.6,17.668099757241265,13.6
7987,2023-10-07,Inter,Bologna,14.0,8.0,1.43,5.5,9.0,serie_a,2324,0.7047768206734534,0.18324197337509784,0.11198120595144868,14.20393075045673,9.4,9.512005292265496,10.4
7988,2023-10-07,Juventus,Torino,17.0,10.0,1.98,3.6,4.75,serie_a,2324,0.5084292213005085,0.27963607171527965,0.2119347069842119,10.796928324039607,11.6,11.396981102957165,8.6
7989,2023-10-07,Genoa,Milan,7.0,12.0,4.33,3.7,2.0,serie_a,2324,0.23066612636763192,0.2699417100464449,0.49939216358592314,11.020776370321014,12.8,12.222254698242287,13.2
7990,2023-10-08,Monza,Salernitana,16.0,8.0,1.72,4.16,5.5,serie_a,2324,0.5793109036034759,0.2395227774514371,0.181166318945087,16.632828009838907,11.2,13.264999509095059,13.8
7991,2023-10-08,Frosinone,Verona,11.0,16.0,2.46,3.45,3.25,serie_a,2324,0.40486378161728864,0.2886854790662406,0.3064507393164708,10.65894146697573,15.8,9.410069205429352,10.4
7992,2023-10-08,Lazio,Atalanta,12.0,12.0,2.97,3.48,2.7,serie_a,2324,0.3385872737886748,0.28896672504378285,0.3724460011675423,11.01617294279098,15.2,11.96358753154437,10.0
7993,2023-10-08,Cagliari,Roma,16.0,11.0,5.0,3.66,1.88,serie_a,2324,0.19897746726507196,0.2718271410725026,0.5291953916624254,11.269233705467748,13.6,11.095722444065764,9.2
7994,2023-10-08,Napoli,Fiorentina,16.0,12.0,1.66,4.42,5.7,serie_a,2324,0.5999542783117267,0.22532219502205117,0.17472352666622212,18.984162201998256,8.2,12.794596310978921,13.8
7995,2023-10-21,Verona,Napoli,15.0,22.0,5.8,4.2,1.71,serie_a,2324,0.17322720694645444,0.23921852387843706,0.5875542691751086,10.239533845356139,9.4,17.811965510390877,9.4
