,date,home_team,away_team,home_shots,away_shots,odds_h,odds_d,odds_a,league,season,prob_h,prob_d,prob_a
58,2019-09-22,Arsenal,Aston Villa,21.0,14.0,1.45,5.05,8.25,premier_league,1920,0.6835801304401329,0.1962754829976619,0.12014438656220516
59,2019-09-22,Chelsea,Liverpool,13.0,6.0,3.75,3.83,2.1,premier_league,1920,0.26561648585723485,0.2600683608262743,0.47431515331649077
60,2019-09-28,Sheffield United,Liverpool,12.0,16.0,10.0,5.4,1.39,premier_league,1920,0.09954115057157256,0.18433546402143064,0.7161233854069968
61,2019-09-28,Aston Villa,Burnley,16.0,10.0,2.45,3.47,3.18,premier_league,1920,0.4037969634538608,0.28510160243860494,0.3111014341075343
62,2019-09-28,Bournemouth,West Ham,13.0,17.0,2.58,3.65,2.9,premier_league,1920,0.3851331683888808,0.272231116285839,0.3426357153252802
63,2019-09-28,Chelsea,Brighton,24.0,8.0,1.47,4.8,8.5,premier_league,1920,0.6760451359546652,0.20703882288611622,0.11691604115921857
64,2019-09-28,Crystal Palace,Norwich,15.0,10.0,2.0,3.85,4.0,premier_league,1920,0.495176848874598,0.2572347266881028,0.247588424437299
65,2019-09-28,Tottenham,Southampton,9.0,14.0,1.49,4.8,8.18,premier_league,1920,0.669986110210531,0.20797485504451899,0.12203903474495002
66,2019-09-28,Wolves,Watford,6.0,14.0,1.95,3.6,4.7,premier_league,1920,0.5111010421386497,0.2768463978251019,0.21205256003624826
67,2019-09-28,Everton,Man City,12.0,20.0,11.0,6.35,1.33,premier_league,1920,0.09088463338911278,0.1574379476031875,0.7516774190076997
68,2019-09-29,Leicester,Newcastle,13.0,3.0,1.56,4.21,7.6,premier_league,1920,0.6345944830978428,0.23514664931891566,0.13025886758324143
69,2019-09-30,Man United,Arsenal,16.0,10.0,2.43,3.65,3.15,premier_league,1920,0.41030994058133935,0.2731652481130561,0.31652481130560467
70,2019-10-05,Brighton,Tottenham,17.0,8.0,4.1,3.75,2.02,premier_league,1920,0.24253970286885246,0.26517674180327866,0.49228355532786877
71,2019-10-05,Burnley,Everton,9.0,11.0,3.05,3.37,2.65,premier_league,1920,0.32722642581023403,0.29615448033270436,0.3766190938570618
72,2019-10-05,Liverpool,Leicester,18.0,2.0,1.5,4.85,7.7,premier_league,1920,0.664856685063201,0.20562577888552608,0.1295175360512729
73,2019-10-05,Norwich,Aston Villa,21.0,22.0,2.5,3.75,2.95,premier_league,1920,0.39775280898876403,0.26516853932584267,0.33707865168539325
74,2019-10-05,Watford,Sheffield United,8.0,9.0,2.25,3.5,3.75,premier_league,1920,0.4458598726114649,0.28662420382165604,0.267515923566879
75,2019-10-05,West Ham,Crystal Palace,9.0,7.0,2.05,3.7,4.0,premier_league,1920,0.4838973352950794,0.2681052803661926,0.24799738433872817
76,2019-10-06,Arsenal,Bournemouth,12.0,10.0,1.5,5.2,7.2,premier_league,1920,0.6680942184154175,0.19271948608137043,0.139186295503212
77,2019-10-06,Man City,Wolves,18.0,7.0,1.14,10.5,28.0,premier_league,1920,0.870105655686762,0.09446861404599129,0.035425730267246734
78,2019-10-06,Southampton,Chelsea,10.0,13.0,4.3,4.0,1.93,premier_league,1920,0.23239712212890212,0.2498269062885698,0.5177759715825281
79,2019-10-06,Newcastle,Man United,12.0,12.0,4.6,3.55,1.95,premier_league,1920,0.21483435487625108,0.2783769105438746,0.5067887345798743
80,2019-10-19,Everton,West Ham,19.0,8.0,2.02,3.9,4.0,premier_league,1920,0.49432790417643707,0.2560365042144623,0.2496355916091007
81,2019-10-19,Aston Villa,Brighton,24.0,20.0,2.45,3.55,3.15,premier_league,1920,0.40519974635383643,0.27964489537095755,0.31515535827520613
82,2019-10-19,Bournemouth,Norwich,11.0,10.0,1.78,4.6,4.5,premier_league,1920,0.5610060165862648,0.21708493685294594,0.22190904656078914
83,2019-10-19,Chelsea,Newcastle,16.0,5.0,1.34,5.9,12.0,premier_league,1920,0.7469457514822864,0.16964530626885826,0.08340894224885531
84,2019-10-19,Leicester,Burnley,19.0,13.0,1.62,4.3,6.8,premier_league,1920,0.6192029138960654,0.2332810977934014,0.14751598831053322
85,2019-10-19,Tottenham,Watford,12.0,7.0,1.45,5.1,8.0,premier_league,1920,0.6823312986035622,0.19399615352454222,0.12367254787189565
86,2019-10-19,Wolves,Southampton,4.0,14.0,1.9,3.75,4.75,premier_league,1920,0.5244755244755245,0.26573426573426573,0.20979020979020976
87,2019-10-19,Crystal Palace,Man City,7.0,21.0,13.0,7.2,1.26,premier_league,1920,0.0762019957665558,0.13758693680072576,0.7862110674327185
88,2019-10-20,Man United,Liverpool,7.0,10.0,5.5,4.1,1.74,premier_league,1920,0.18173944056656646,0.24379681051612576,0.5744637489173078
89,2019-10-21,Sheffield United,Arsenal,8.0,9.0,4.0,3.94,1.98,premier_league,1920,0.24780503919799754,0.251578719997967,0.5006162408040354
90,2019-10-25,Southampton,Leicester,6.0,25.0,3.3,3.5,2.45,premier_league,1920,0.303970223325062,0.2866004962779156,0.40942928039702225
91,2019-10-26,Man City,Aston Villa,25.0,11.0,1.11,13.25,35.0,premier_league,1920,0.8964687347467416,0.07510039966557609,0.02843086558768238
92,2019-10-26,Brighton,Everton,8.0,10.0,2.95,3.46,2.65,premier_league,1920,0.3371761634214059,0.28747678673212357,0.3753470498464707
93,2019-10-26,Watford,Bournemouth,7.0,15.0,2.26,3.7,3.44,premier_league,1920,0.44095841243885203,0.26934216543562306,0.2896994221255249
94,2019-10-26,West Ham,Sheffield United,12.0,10.0,2.18,3.6,3.7,premier_league,1920,0.4556338509954163,0.27591160976944656,0.2684545392351371
95,2019-10-26,Burnley,Chelsea,13.0,16.0,4.8,4.25,1.8,premier_league,1920,0.20850367947669665,0.23548650858544562,0.5560098119378577
96,2019-10-27,Newcastle,Wolves,13.0,13.0,3.1,3.2,2.7,premier_league,1920,0.3208317861121426,0.3108057927961381,0.36836242109171924
97,2019-10-27,Arsenal,Crystal Palace,15.0,10.0,1.54,4.8,7.0,premier_league,1920,0.6489994591671173,0.20822065981611682,0.1427798810167658
98,2019-10-27,Liverpool,Tottenham,21.0,11.0,1.57,4.65,6.5,premier_league,1920,0.6332428950042426,0.2138045903562711,0.15295251463948628
99,2019-10-27,Norwich,Man United,10.0,21.0,4.65,4.1,1.87,premier_league,1920,0.21641380283677933,0.24544492272951807,0.5381412744337026
100,2019-11-02,Bournemouth,Man United,12.0,15.0,3.44,3.7,2.26,premier_league,1920,0.2896994221255249,0.26934216543562306,0.44095841243885203
101,2019-11-02,Arsenal,Wolves,10.0,25.0,1.83,4.0,4.85,premier_league,1920,0.5450127122810468,0.2493433158685789,0.2056439718503744
102,2019-11-02,Aston Villa,Liverpool,5.0,25.0,9.25,5.7,1.39,premier_league,1920,0.10778785260966867,0.1749188836209535,0.7172932637693779
103,2019-11-02,Brighton,Norwich,21.0,7.0,1.75,4.4,5.0,premier_league,1920,0.5721716514954487,0.22756827048114434,0.20026007802340703
104,2019-11-02,Man City,Southampton,26.0,3.0,1.11,13.5,41.0,premier_league,1920,0.9014731390320768,0.07412112476485964,0.024405736203063546
105,2019-11-02,Sheffield United,Burnley,13.0,6.0,2.34,3.32,3.6,premier_league,1920,0.4246610386288054,0.2993092862624713,0.2760296751087235
106,2019-11-02,West Ham,Newcastle,16.0,12.0,1.84,3.95,4.75,premier_league,1920,0.5396097266360852,0.2513625055722523,0.20902776779166246
107,2019-11-02,Watford,Chelsea,12.0,16.0,5.25,4.5,1.7,premier_league,1920,0.19029850746268656,0.2220149253731343,0.5876865671641791
108,2019-11-03,Crystal Palace,Leicester,12.0,14.0,3.65,3.5,2.25,premier_league,1920,0.2728453876136856,0.2845387613685578,0.44261585101775663
109,2019-11-03,Everton,Tottenham,7.0,4.0,2.82,3.6,2.68,premier_league,1920,0.3526625142556365,0.27625230283358193,0.37108518291078163
110,2019-11-08,Norwich,Watford,17.0,12.0,2.75,3.65,2.72,premier_league,1920,0.36173507496675233,0.2725401249749504,0.3657248000582974
111,2019-11-09,Chelsea,Crystal Palace,23.0,3.0,1.37,5.6,10.25,premier_league,1920,0.7255307181363719,0.177495907829791,0.09697337403383703
112,2019-11-09,Burnley,West Ham,14.0,7.0,2.33,3.73,3.3,premier_league,1920,0.4290509569903343,0.2680130642861874,0.30293597872347844
113,2019-11-09,Newcastle,Bournemouth,20.0,16.0,2.72,3.5,2.95,premier_league,1920,0.3704833327352973,0.28791847572571677,0.341598191538986
114,2019-11-09,Southampton,Everton,4.0,24.0,3.11,3.53,2.58,premier_league,1920,0.3239972251374091,0.28544798022021023,0.39055479464238063
115,2019-11-09,Tottenham,Sheffield United,17.0,14.0,1.63,4.34,6.5,premier_league,1920,0.6148755863223422,0.23093253587682436,0.1541918778008335
116,2019-11-09,Leicester,Arsenal,19.0,8.0,2.08,3.98,3.8,premier_league,1920,0.48309610814402165,0.25247233792451385,0.2644315539314645
117,2019-11-10,Man United,Brighton,21.0,6.0,1.72,3.8,6.5,premier_league,1920,0.5823274236137307,0.26357978121463593,0.15409279517163335
118,2019-11-10,Wolves,Aston Villa,17.0,13.0,1.96,3.8,4.4,premier_league,1920,0.5098804586484508,0.2629909734081483,0.2271285679434008
119,2019-11-10,Liverpool,Man City,12.0,18.0,2.7,3.75,2.78,premier_league,1920,0.3715782720273738,0.26753635585970914,0.36088537211291705
120,2019-11-23,West Ham,Tottenham,11.0,15.0,4.45,4.36,1.82,premier_league,1920,0.22392920234110883,0.22855159413255371,0.5475192035263374
121,2019-11-23,Arsenal,Southampton,12.0,21.0,1.52,5.0,7.0,premier_league,1920,0.6574004507888807,0.1998497370398197,0.14274981217129978
122,2019-11-23,Bournemouth,Wolves,9.0,17.0,2.9,3.41,2.7,premier_league,1920,0.3419371611082226,0.2907969991829459,0.36726583970883164
123,2019-11-23,Brighton,Leicester,7.0,19.0,3.85,3.7,2.1,premier_league,1920,0.2581395348837209,0.26860465116279064,0.4732558139534883
124,2019-11-23,Crystal Palace,Liverpool,16.0,12.0,8.0,4.84,1.48,premier_league,1920,0.12409568423095048,0.20511683343958756,0.670787482329462
125,2019-11-23,Everton,Norwich,18.0,13.0,1.45,5.25,9.0,premier_league,1920,0.6957482054113749,0.19215902816123687,0.11209276642738816
126,2019-11-23,Watford,Burnley,15.0,11.0,2.4,3.51,3.35,premier_league,1920,0.41663566303481264,0.2848790858357693,0.298485251129418
127,2019-11-23,Man City,Chelsea,15.0,11.0,1.48,5.3,7.1,premier_league,1920,0.6721803436818977,0.18770319031117147,0.1401164660069308
128,2019-11-24,Sheffield United,Man United,12.0,11.0,3.68,3.4,2.25,premier_league,1920,0.2689684269741931,0.2911187680191267,0.4399128050066803
129,2019-11-25,Aston Villa,Newcastle,17.0,11.0,2.2,3.6,3.75,premier_league,1920,0.45500505561172905,0.27805864509605666,0.2669362992922144
130,2019-11-30,Newcastle,Man City,6.0,24.0,18.0,8.3,1.21,premier_league,1920,0.05541791053012035,0.12018342042676702,0.8243986690431128
131,2019-11-30,Burnley,Crystal Palace,15.0,7.0,2.38,3.35,3.5,premier_league,1920,0.4183316683316683,0.29720279720279713,0.2844655344655344
132,2019-11-30,Chelsea,West Ham,19.0,5.0,1.33,6.35,10.53,premier_league,1920,0.7486404996198887,0.15680186842432314,0.09455763195578841
133,2019-11-30,Liverpool,Brighton,15.0,12.0,1.23,7.25,17.25,premier_league,1920,0.8058280577973227,0.13671289808147682,0.057459044121200405
134,2019-11-30,Tottenham,Bournemouth,15.0,20.0,1.41,5.5,8.5,premier_league,1920,0.7031132501127989,0.18025266957437208,0.116634080312829
135,2019-11-30,Southampton,Watford,11.0,6.0,2.2,3.62,3.64,premier_league,1920,0.4520529146997475,0.27472829070150406,0.2732187945987485
